,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
10,gp:AOqpTOH7FJMSDieBFCxoFXHw1clcViUyRnkI0ubRWI3OFKbqNt2CoiE5qqUHmppBJj9J6ZmvrEnxYthWIZhNA8k,fizza Irfan,https://play-lh.googleusercontent.com/a-/AOh14Ggag9NFoxVd_N5J14U7cRYSgkdLAUCN5x4wMJY4,"Order acceptance and ending on their own without me recieving I had to wait for 50 min as the app was showing that there is no rider available for delivery.I called the number given and they said that they recieved my order and they will deliver it but after 30 min more wait on second call they said my order isn't ready while on cheetay app I got the notification of order delivered.In total I recieved my order after 2 hrs.And that was delivered by the restaurant,then what's the use of app?",2,1,3.12.3,2021-08-04 08:47:17,Hey Fizza. Please accept our sincere apologies. Can you please update the order details here or contact us at info@cheetay.pk so that we can have a look into this right away?,2021-08-04 08:29:11
11,gp:AOqpTOHNLyk7BuG1d2HTLf7v9Z88F0NKvCDPDlYQH2PaOXYDbSDEjHAe7iN5b05Db4hcQi9nyAREX9_wVU-jPR0,Chanda Agency,https://play-lh.googleusercontent.com/a/AATXAJxF0pTn0hT4RxGL2sDqL8j6lBMRAfWtDYZ9BCJn=mo,"service, quality and punctuality.... no. 1. I have found cheeta better than food panda or any other groceries, etc. They have always been punctual and the most important thing is they have never missed any item from the order. awesome service.",5,1,3.12.2,2021-07-27 12:20:02,"Hey User, thank you for taking the time to write this review. Your kind words encourage us greatly. Happy shopping!",2021-07-28 04:58:49
12,gp:AOqpTOHaS8sZgJwz-KmZCnkVntHPLWPI8OzLSKdymAjmDb9973TI3EZfEwaVq_vWpYzgnh7461RzjFNTfawkbTk,Mubeshra Zahoor,https://play-lh.googleusercontent.com/a-/AOh14GjeWql9gvacqhzc-2p57nAWPOUIKYFyj2EM68vr,"I think, I never going to reorder such bad service. I don't have many option in my area... I can't shop groceries and medicine... Only three resturation... Only one reasonable price and others are too expensive... I really tried to work with this app... And I'm from Lahore... I'm talking about Lahore",1,35,3.12.3,2021-08-01 19:07:08,"Hey Mubeshra, thank you for the updated review. You are requested to provide us the screenshot of the error received while trying to order grocery/medicines at info@cheetay.pk. We will get your issue checked as soon as possible.",2021-03-30 09:55:11
13,gp:AOqpTOGzsozkdDrLcTh_qKZbnJ3jMDMA_YFz0zAUenb65sZuqGF3JzWDxXTN_GwTmCSaVysfU3tOQkCPHPkMqms,Sadeel Zafar,https://play-lh.googleusercontent.com/a-/AOh14GhjcxbyH3ZN8-vIjVoaMoUH0Yxc3VB6uiDGZvIa,Horrible. There should be a minimum tome for the restaurant to confirm the orders. I wait 40 minutes for confirmation only for it to be cancelled? I could have ordered something else but no,1,7,3.12.2,2021-07-28 20:22:15,"Hey Sadeel, we apologize for the inconvenience caused. We assure you that we're working hard to improve our services and make sure that timely deliveries are performed, However, sometimes orders are delayed such as extreme weather conditions, road blockage etc. Please give us another chance and we promise not to disappoint you again!",2021-07-29 10:55:12
14,gp:AOqpTOEkh_6MycSFVHUeZLYYEKzBDXm_3bTpcLWzEvDqoOka1Rc9rRY2Wg51ebEuYTU58XnVAu_164aEHk0DQQs,faisal sheikh,https://play-lh.googleusercontent.com/a-/AOh14Gij8MPJ_OgpWZN-V0NpH4nXF-CpSkGc_V1XK0LfFv0,That was a full waste of time totally garbage very bad experience i have order around 12 :00 am and i have waited so long and at 3:25am i received a call saying your order is cancelled due to weather condition they should call me before so i can order from other app for new user not recommend totally garbage app no support at all,1,2,3.12.2,2021-07-28 22:27:20,"Hey Faisal, sorry for the inconvenience caused. Can you send us your order ID at info@cheetay.pk and we assure to get your issue checked at the earliest.

",2021-07-29 11:04:11
15,gp:AOqpTOGxs_XFLFJmgoJc3j-Anen051dch2y-jJpn4kZ_wAFSzcWoATKJx_R1nyP0dNipmCa-3Od78vAumENafaU,Afnan Naeem,https://play-lh.googleusercontent.com/a/AATXAJwQWCiIx814GUEG4iTlhSHmHl4qWEnwhQJC-zR1=mo,Very bad app. I didn't got my complete order. Complained them a lot of time but they are not taking any responsibility. ...Even they got the complete money without delivering complete order. Just uninstalling and will never want this app to be trusted.,1,30,3.12.3,2021-07-31 18:00:56,Hey Afnan. We apologize for the inconvenience you had to face. Please provide us your Order id so we may further investigate your issue.,2021-08-02 11:01:16
16,gp:AOqpTOGiHzjbkAj7LIUZl65J6SfTI6EXPGXdg3-WMNath_GOTYit9okwezDsfqE1eWwwfIExolDGmu8oStqUkHU,Amal Naveed,https://play-lh.googleusercontent.com/a-/AOh14GhBAsvyfUkteG6OrMS4Jl7BYh_AfGggJ45QZWay3Q,Over all i am totally satisfied with the App. Sub kuch time par ata hai. They leave out nothing. I Actually wanted an online grocery shop like this! Definitely recommend cheetay!,5,0,3.12.3,2021-08-02 01:22:51,Hey Amal. Thank you for taking the time to write this review. Your kind words encourage us greatly. Happy shopping!,2021-08-02 10:21:58
17,gp:AOqpTOF4Sygecss--R8Z9lzNJEXB_C0hakBZWsxRhuEkLgH2WDzRGvRrkKBl3nya5vg34iB8EyF6G0gdcXyEuE0,ammar khan,https://play-lh.googleusercontent.com/a/AATXAJwd2tUNQ0LhtVGGMaj-YGw04-RlLU-53WtmwsLG=mo,"Pathetic service,its been like more than 80 mins since order was placed ,no signs of any movement of rider or any communication from cheetay guys about the delay or cancellation ,ridiculous, 2nd time this has happened, They doent not deserve this single star aswell.210728BFPL",1,7,3.12.2,2021-07-29 11:43:05,"Hi Ammar, we apologize for the issue. Could you please share your order ID at info@cheetay.pk so that we can check the issue.",2021-07-29 06:58:01
18,gp:AOqpTOEUZtf8wKP2M6YttHQ6bYL0Y2leDiYoEnidrgQRjKoHG0KRHw5U8IIqEOzjBHn4_-FDuOJtAwPNCmqhNYM,Muhammad Kashif Amin,https://play-lh.googleusercontent.com/a-/AOh14GjUWBuPr530eu7UbkLK0I7GOP3JCoZR1zdcgnM99Q,It was a great exp to use app. But the cancellation option was not available how ever with courtesy they cancell the order but it takes time if you can add cancellation option it will be great addition.,5,2,3.12.2,2021-07-28 17:20:44,"Hey Kashif, thank you for your feedback :)",2021-07-29 06:14:44
19,gp:AOqpTOFR8zJFQdNMSAqWyQYk9jglk8uylLBFKnE12AU8iCYiM4BkI6wGzK7CCO0kCsP0jkVMvPU63LC22C6cdRE,EVERY THING YOU WANT.,https://play-lh.googleusercontent.com/a-/AOh14GhuLSoUL70RYZSvV9GKG00DIaQZ7J_N7CqLicOL,Really good but should start a point system like Foodpanda.when you order something or add money to chetay wallet you should get points and you can buy voucher with your points,4,1,3.12.2,2021-08-05 16:13:47,"Hi User, thank you for your feedback. Kindly share the list of the products which you are ordering along with your complete location, at info@cheetay.pk so we may further get your issue checked.",2021-06-17 05:29:28
20,gp:AOqpTOHaiIwsYmM46AWgURIYT8ES_jwMKqqhL6xcFkUpkFj0U1kHbWvUjXMuYgYawzppm_kRANz_d39sl50GtFg,Mian Umar Farooq,https://play-lh.googleusercontent.com/a-/AOh14GjO0y3KjMjVlUzQgurIwzQmWjR-JLt8LCygf6Nlnw,"shittiest app and even worst customer support ever, discounts would show in the menu amd deals but won't apply toeards the final bill, compalined to customer support with screenshots and thats it, no resolution, no further communication, no updates. and the app is on its latest version. Such a shame",1,24,3.12.2,2021-07-22 11:46:30,"Hi Umar, we are sorry for the trouble caused. We'll look into this issue for you. Please send your complaint ID at info@cheetay.pk so that we can follow up.",2021-07-23 18:55:46
21,gp:AOqpTOFK3ZNSov87lVqIw203RGUe8tsPyNDJPwUCyiUTT1DhnSSlDAiasZVXOCtmcTI0Zg3LTKGARbt1ZYsKCGs,Shadab Bilal,https://play-lh.googleusercontent.com/a-/AOh14Gi6XqxXcS0dVBpexKTxDrywRrFNf6Q2pHx-0XWM-A,Very good and easy app and their service is too good. I always get what i ordered...fresh and perfect..and good rates... easily at home any time,5,0,3.12.3,2021-08-03 09:24:36,Hey Shadab. Thank you for taking the time to write this review. Your kind words encourage us greatly. Happy shopping!,2021-08-05 07:58:00
22,gp:AOqpTOF6MQ8qkRzpyR7ovojNj-h2R0fnZE4EJ5THNCkTdYlVdg2N71EJ9P1w6lKhQoUuQlxu9PaZy6Qjvja8gZQ,Eashan Sarfraz,https://play-lh.googleusercontent.com/a/AATXAJxc63XQ_X4qp_2vIQMdUyCP1B4h7NUG5ajpoK1P=mo,This app service is so amazing......i really use this app.....Cheetay delivery is so fast as compared to other applied food panda and other other....Again again and again I love this app and this delivery service is so fast,5,0,3.12.4,2021-08-06 19:55:39,Hey. Thank you for your encouraging words.,2021-08-09 09:22:15
23,gp:AOqpTOH48KScE-lNG-PS0k6XeTzMpdgYm67HKYmBgcs7T0pIyvZudHcIk041f08kmi_YDfRJ5vOGc5hh3SZOxmU,Atqa Zaib,https://play-lh.googleusercontent.com/a/AATXAJwD9S2Vk9QFDGcLVu7SIVkBimwC3XBXDW11vDlS=mo,Very poor service. Kept waiting for a long time eventually I had to cancel the order. Not recommended at all.....,1,2,3.12.3,2021-07-31 20:39:37,Hey Atqa. We apologize for the inconvenience you had to face. Please provide us your Order id so we may further investigate your issue.,2021-08-02 10:57:33
24,gp:AOqpTOFW2EbYZgcjhr7Bwf0gphtNzXvUX24ZIGI5N1W0pVNEOUXPFYB7ixdspKzkuXBP0YcZne5sguL2u5JuTt0,Kibtia Urfan,https://play-lh.googleusercontent.com/a-/AOh14GjkCJuUSwV4yrank4fpd_4GjquxeCNK9CjtrPXsDA,"Great app, now i dont have to go out in the heat to buy stuff. Hats off to the riders who brings us stuff we order and on time in such hot weather. Thank you",5,9,3.12.0,2021-07-19 14:27:49,"Hey Kibtia, thank you for using Cheetay services. We take pride in serving you :)",2021-07-20 11:49:28
25,gp:AOqpTOFiTkaCusfR5-in5oGtfen9-zLESjBHBd_JcB_c0whQRpVYPwxGOF9gVSYfE_b1a71g7f9QxIt0m2jtjc8,Aimen Siddiqui,https://play-lh.googleusercontent.com/a/AATXAJzT1inMx4jLPgiVW8dSbNoRvQIP7QoBskFCJ6zASQ=mo,Great app. ordered twice and received within 20-30 minutes. Will continue using. keep up the good work!. please also add local tandoors. that would be great too,5,24,3.12.0,2021-07-19 15:55:07,"Hey Aimen, thank you for your feedback. Please reach out to us at info@cheetay.pk, if you have other suggestions.",2021-07-20 11:35:07
26,gp:AOqpTOGyMftNECrmqzj5ZJZ4px0Qq3VaK6CTr65_SeGdPYm7S9X7HRkzKaZTlzS4JOFNc9pA-SP48qVOY6u1Vps,Awn muhammad,https://play-lh.googleusercontent.com/a-/AOh14GhWBZOUbBLhM6VE0sVU1sxniRcAjVkPkw0PPoh-_g,The app is really good however there are very few voucher offers and the delivery fee is alot.,4,0,3.12.4,2021-08-06 08:53:51,Hi. We're always looking to improve your experience. Delivery charges vary depending on the distance of the customer's location to that of the restaurant.,2021-08-06 11:37:41
27,gp:AOqpTOETWKyU7pXqOxA9aSplYUhh3tKG--s771iiodrSeosZrzsM3JtIt2OUpLN6v5QK7dnvB2F7eLovd43caLU,Qasim Iqbal,https://play-lh.googleusercontent.com/a-/AOh14Gifl3FfDgXLvvYFVA6zUgex2lR_9nqcijC0SV0ggAU,Very good service and they fulfill their commitments. Regarding time give or if any product not available they inform in time.,5,2,3.12.3,2021-08-01 06:11:17,Hey Qasim. It is delightful to hear such positive words and it’s always a pleasure to serve our users.,2021-08-02 10:53:30
28,gp:AOqpTOGB4SgUP1HvIoYch6QF0ZgfzZovdC2Kcb38ljG3qig3MFv6bMLwsgRugtkw2YrxDHUru-iF7GEgW9gwVEI,fareeha zubair,https://play-lh.googleusercontent.com/a/AATXAJzbgcRLT48HhzYYyIMbO_WADpMLazmjW0cs1T2q=mo,It's good and convenient but complaint system is not good. There is no response on complaints,4,0,3.12.2,2021-07-25 18:01:06,"Hey Fareeha, can you please share your complaint ID with us at info@cheetay.pk and we will get your issue checked at the earliest.",2021-07-26 05:32:00
29,gp:AOqpTOGMVcxsv5lwhVEdsPr5CLI0c07Yx6Zu47uBe1TpdRH4ux38X7m4dz4aK_CbvWJDIkzN4BKvj-BC5eaqR0k,Akmal Technologies,https://play-lh.googleusercontent.com/a-/AOh14GjW12ZLnvC2cvT0yj4mwL9Prv7GCYXM8zuu5Xa-BA,Bad 👎 app ever all the time order got cancel so why showing lots of restaurants when everything goes into cancel if really want to make a good business care your customer,1,0,3.12.2,2021-07-25 18:32:37,"Hey User, we are sorry for the trouble caused. Please send us your order ID at info@cheetay.pk and we assure to get your issue investigated.",2021-07-26 05:33:28
30,gp:AOqpTOGb49WjxoMGtZVam_yf-hPiy3EcDchN7sz6dvHPDSbyn_xh__8soUkADqt_k_s9q-ly8zn89ifEsjHSTF0,Rimsha Ishfaq,https://play-lh.googleusercontent.com/a/AATXAJxmtXZnmkppNCIpzVZTnmEuZCHVNGFgQormUM2_=mo,My first and last experience with cheety and it was worst I waited for 1.5 hour and in the end they cancelled the order.. Not recommended at all!,1,0,3.12.1,2021-07-20 13:33:41,"Hey Rimsha, we apologize for the issue. Could you please share your order ID at info@cheetay.pk so that we can check the issue.",2021-07-23 16:42:42
31,gp:AOqpTOGyZPyoBp0g-P26XRFamyKsmmN3aTqZVUTAj97tDAj3mKulAyKIBFAB6BteEk3pZra__z6koWeQ9yZggrI,Muhammad Ismail,https://play-lh.googleusercontent.com/a/AATXAJy2JJlTh0-SDvCHksbAljAB9A4T-GyplTGyqIlx=mo,"I am student and dont wanna waste my time visiting nearest stores. So I used this app and m satisfied with my first order. Thank you, Cheetay!",5,0,3.12.4,2021-08-05 18:24:22,,
32,gp:AOqpTOGwfy8O3dLMBHBMJSKNVpYGArDX8ZkImuq91iNM9sLE7ITCawPpII9PCmdyInkZOGVbi1UiTL30dFYCVp4,Cooking with Aneela Butt,https://play-lh.googleusercontent.com/a-/AOh14Ggp5wVKuLMqBKmhZElTROp056NPzG5R6bw43_vVBA,"It was superb experience with Cheetay, Reasonable prices with good packing Cheetay made my life so easy🤗😍",5,0,3.12.4,2021-08-06 11:28:05,Hi Aneela. Thank you for taking the time to write this review. Your kind words encourage us greatly. Happy shopping!,2021-08-09 09:17:12
33,gp:AOqpTOF9oRO0CoUwC4VahLRgJzB77LdBQkZomegzh0nsgwOa5vNpgCqbjfoY7io3h_oAwhyIl-_Ynh6jTPZvfOk,Jawaria shah,https://play-lh.googleusercontent.com/a-/AOh14GhhEoKJKhSR4awghsH4J0YPMzcF8idLLuPwp2mLcw,Groccery option has made my life easier pkease add more products like fresh chicken meat etc not the frozen one,5,1,3.12.2,2021-07-28 15:46:11,"Hey Jawaria, thank you for your feedback. We have noted down your suggestion :)",2021-07-29 05:28:48
34,gp:AOqpTOGrb9rxqFGYMjHngXVZS0MUBQqjNfVSClcnCI_cwPe2IMgEotvjoRLhW9vFBaFV0D1RdRrioqLmoirjBTI,Hassan Ali,https://play-lh.googleusercontent.com/a-/AOh14GiIMHBo0INBNW9TFs2ZC1ql16PAy4ZtbHuv2S3A,Have been using foodpanda for 4 years and after the recent debacle i thankfully found cheetay. So much better overall and will be using it more in the future,5,1,3.12.2,2021-07-21 15:49:36,"Hey Hassan, thank you for your kind words. If you experience any dissatisfaction, please contact our customer care at info@cheetay.pk.",2021-07-23 18:15:35
35,gp:AOqpTOEtx2TX7coVcZzRFugQhMa6trXOJoNpg2jmdi26Arrw62t86cmBPeLNNmhhjMLzm_NU0XSqkcP7HSf_dY8,Maria Ali,https://play-lh.googleusercontent.com/a-/AOh14Gg86U-lvFN3jYHPYBrxSlu_LWVYb15DyN4XZxk-aA,This is the second time I have downloaded your app and deleting it now. I am from Karachi there are very few options for restaurants in my area Johar which has the largest number of restaurants in city but still your app fails to show any relevant restaurants. Also no good deals are there all are available at the same old rates. i hate this app never coming back again.,1,107,3.11.10,2021-07-16 20:44:41,"Hey Maria, sorry for the inconvenience caused. We are rapidly expanding our services. Please stay tuned to our Facebook page for more updates.",2021-07-17 18:22:48
36,gp:AOqpTOEOcrpgpZI8KWvQWPaUzQfvK9stRpHUqd2aR8dQmY87L__keOyTG6C0sNZRiHQhxLkE7qGEf9OxBS3JG_c,Hashtag Optimism,https://play-lh.googleusercontent.com/a-/AOh14GjLjSsg5PWqmDhea4a9Tkso7a1tnYCSwKZnK-o8,Pathetic quality of grocery items. I ordered some good quality chocolates out of craving. They were all old and in a pathetic form. I had to throw them away. They were all powdered and whitish ..seemed like fungus had grown. Worst experience.,1,0,3.12.3,2021-08-02 20:25:42,Hey. Please accept our sincere apologies. Can you please update the order details here or contact us at info@cheetay.pk so that we can have a look into this right away?,2021-08-03 07:54:20
37,gp:AOqpTOGtums-N5pP-xapmSPLahIcnV2r8RDW-6KG4aT3dRpxvlHXH4NO0Q8GJO1p69MNPinP1OEwHqWZLrb8bNQ,Fakeeer,https://play-lh.googleusercontent.com/a-/AOh14Gg0cvXZPk-3wax1QewttdSjSLJUp2lyztk1_1x0OA,It's a nice app but it doesn't tell the rider my exact location that I enter.... Oftenly the street next to my street,3,0,3.12.3,2021-08-03 13:08:10,Hey. We apologize for the inconvenience you had to face. Please note that you can pin your exact location in the application before checking out from the cart.,2021-08-04 08:27:22
38,gp:AOqpTOElob56G_t_lB2cBocAMJqFdPfGNrhks7mUtzzTkoKEtrcvHuBz3ahkdYBRssqbIvf9JF1x5U4U-24rsWQ,SHAFIQ UR REHMAN,https://play-lh.googleusercontent.com/a-/AOh14GgLRrHoQp20BkJPaquu4zpKM5JtMEl9JYd4ejThxO8,Very useful It provides services in side area of city as well. Much satisfied,5,0,3.12.2,2021-07-29 08:21:53,"Hey Shafiq, thank you for using our services. If you experience any dissatisfaction, please contact our customer care at info@cheetay.pk.",2021-07-29 11:32:19
39,gp:AOqpTOFv2egvesEGwqX1oUVAY9ZOx-fckHzwBGMjgFERQ5Qnq4KzHafBl-BMrzvlqrFC23pHyl4oTEsvrDjdN7o,Hira Kamran,https://play-lh.googleusercontent.com/a-/AOh14GjWJ0kgTL1hqrVS4YYVRkI-2zfRfzueno73tj8niA,"Worst service ever!!!! Ordered three times and they cancelled it! Then they send an incomplete order and they charge full for it. When I contacted them they did not attend the call and blocked me on chat. They just said that WE ARE LOOKING INTO IT and they blocked me!!!! Waste of time, waste of money, waste of internet and waste of energy. Highly recommend food panda for this. Cheetay ap log fraud me cheetay hayn. Pathetic really. Uninstalling the app. Recommend others to do same!",1,198,3.11.3,2021-06-16 13:08:12,"Hi Hira, we sincerely apologize for the unpleasant experience you had as this is something we don't want our customers to go through. Please share your complete details (order numbers and the exact date and time of chat) at info@cheetay.pk so we may get your issue checked.",2021-06-17 06:18:59
40,gp:AOqpTOFRARlIerp0jNeKwzt_vG0qbrWS12Qt5hYwBQgVmbltDyKyJ2aaH6XyvIS6xBLGpkQmLhMrRdb2pdhC-CU,EmRaLdSwRd,https://play-lh.googleusercontent.com/a-/AOh14GgtMKdgo5h-EK_VFazguefzgdZwtJ1PcYZ4Req5-A,"Okay, there are obviously problems with everything, nothing is perfect. But the thing is, cheetay tries to solve it, unlike the others that care about money only and not what customers think. Their customer service is out of this world. Food on average takes 40 mins to arrive, but im okay with it, I just order early. And with their gameshow, cheetaypop, u can earn a good amount to treat your taste buds every now and then.",5,174,3.11.4,2021-06-21 12:24:03,"Hi User, thank you for taking out time and reviewing us. Our loyal customers like you encourage us to never stop striving to become better. Keep supporting us!!! :)",2021-06-27 21:27:33
41,gp:AOqpTOE25Fc9PzhocOFHg7pkXiW-8iYUCvVDaH-8NiNgNEKkCRv3jg3ycKakCTjuEUJ0j_a2PEOFObpi1qOmIBI,mahe alam,https://play-lh.googleusercontent.com/a/AATXAJz0Rqv2jktPuL_baWTXPS0G6Qh0pvFkBF13RYQB=mo,"I've ordered twice from this app and both times the orders took well over an hour, even the customer care is not that good, you can keep this app for backup incase foodpnda is not working",1,0,3.11.10,2021-08-03 12:25:01,Hey. We apologize for the issue. Could you please share your order ID at info@cheetay.pk so that we can check the issue.,2021-08-04 08:05:48
